elapsed, matched
18, 1
57, 52
221, 53
225, 54
229, 55
235, 56
239, 57
245, 58
251, 59
263, 60
271, 61
278, 62
285, 63
293, 64
299, 65
308, 66
319, 67
328, 68
335, 69
339, 70
343, 71
346, 72
354, 73
358, 74
363, 75
366, 76
370, 77
373, 78
376, 79
379, 80
384, 81
388, 82
392, 83
397, 84
401, 85
404, 86
408, 87
412, 88
416, 89
420, 90
424, 91
430, 92
440, 93
445, 94
449, 95
453, 96
456, 97
460, 98
464, 99
467, 100
471, 101
475, 102
479, 103
484, 104
488, 105
492, 106
497, 107
504, 108
508, 109
512, 110
516, 111
520, 112
524, 113
528, 114
532, 115
536, 116
540, 117
544, 118
548, 119
552, 120
556, 121
559, 122
564, 123
568, 124
571, 125
575, 126
579, 127
583, 128
587, 129
609, 130
613, 131
617, 132
620, 133
624, 134
628, 135
632, 136
635, 137
639, 138
643, 139
647, 140
651, 141
655, 142
658, 143
662, 144
666, 145
670, 146
674, 147
678, 148
681, 149
685, 150
689, 151
693, 152
698, 153
706, 154
711, 155
715, 156
718, 157
722, 158
726, 159
730, 160
733, 161
737, 162
741, 163
745, 164
749, 165
753, 166
757, 167
760, 168
764, 169
787, 170
791, 171
796, 172
801, 173
807, 174
811, 175
814, 176
818, 177
822, 178
827, 179
830, 180
834, 181
838, 182
842, 183
846, 184
849, 185
853, 186
857, 187
862, 188
868, 189
875, 190
880, 191
884, 192
887, 193
891, 194
895, 195
899, 196
903, 197
907, 198
911, 199
914, 200
918, 201
923, 202
927, 203
931, 204
935, 205
939, 206
943, 207
946, 208
952, 209
956, 210
960, 211
964, 212
971, 213
976, 214
980, 215
983, 216
987, 217
991, 218
995, 219
999, 220
1002, 221
1006, 222
1010, 223
1014, 224
1018, 225
1022, 226
1025, 227
1029, 228
1033, 229
1037, 230
1040, 231
1044, 232
1048, 233
1052, 234
1056, 235
1060, 236
1064, 237
1071, 238
1076, 239
1080, 240
1084, 241
1087, 242
1091, 243
1095, 244
1099, 245
1103, 246
1106, 247
1110, 248
1115, 249
1120, 250
1124, 251
1129, 252
1136, 253
1141, 254
1145, 255
1149, 256
1153, 257
1157, 258
1160, 259
1164, 260
1168, 261
1172, 262
1176, 263
1180, 264
1184, 265
1188, 266
1191, 267
1195, 268
1199, 269
1203, 270
1207, 271
1211, 272
1217, 273
1221, 274
1225, 275
1230, 276
1238, 277
1244, 278
1248, 279
1252, 280
1256, 281
1259, 282
1264, 283
1268, 284
1271, 285
1275, 286
1280, 287
1284, 288
1289, 289
1294, 290
1297, 291
1301, 292
1306, 293
1310, 294
1313, 295
1317, 296
1321, 297
1326, 298
1331, 299
1338, 300
1343, 301
1347, 302
